"filename", "language", "JSON", "HTML", "JSON with Comments", "TypeScript", "Markdown", "vue", "JavaScript", "Properties", "XML", "Batch", "CSS", "Java", "comment", "blank", "total"
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\components\icons\IconEcosystem.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\components\icons\IconSupport.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\components\icons\IconTooling.vue", "vue", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 1, 20
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\components\products\ProductCard.vue", "vue", 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 29, 192
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\components\products\ProductForm.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\components\products\ProductList.vue", "vue", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 3, 19, 131
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\components\products\ProductSearch.vue", "vue", 0, 0, 0, 0, 0, 241, 0, 0, 0, 0, 0, 0, 5, 39, 285
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\i18n\index.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 53
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\locales\en.json", "JSON", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 90
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\locales\sq.json", "JSON", 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 217
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\main.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\router\index.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 62
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\services\api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\services\authService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\services\orderService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\src\services\productService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
